Epoch,loss,accuracy,val_loss,val_accuracy
0,0.18071779608726501,0.9304064512252808,0.25733280181884766,0.9134615659713745
1,0.16569624841213226,0.9338573813438416,0.3443965017795563,0.875
2,0.1550547331571579,0.9371165633201599,0.32618698477745056,0.8942307829856873
3,0.16012299060821533,0.9399923086166382,0.3330870270729065,0.8958333134651184
4,0.1515897512435913,0.9403757452964783,0.3034608066082001,0.9086538553237915
5,0.14273054897785187,0.9472776055335999,0.32461658120155334,0.9038461446762085
6,0.14491908252239227,0.9482361674308777,0.24636851251125336,0.9118589758872986
7,0.1382957249879837,0.949386477470398,0.30819955468177795,0.8766025900840759
8,0.12972696125507355,0.9524539709091187,0.34784388542175293,0.8830128312110901
9,0.13701295852661133,0.9476610422134399,0.28456011414527893,0.9054487347602844
